state,district,hindi_state,hindi_district,kannada_state,kannada_district,telugu_state,telugu_district,malayalam_state,malayalam_district,tamil_state,tamil_district,marathi_state,marathi_district,gujarati_state,gujarati_district,punjabi_state,punjabi_district,bengali_state,bengali_district,assamese_state,assamese_district,odia_state,odia_district
Andhra Pradesh,Eluru,आंध्र प्रदेश,एलूरु,ಆಂಧ್ರ ಪ್ರದೇಶ,ಏಲೂರು,ఆంధ్ర ప్రదేశ,ఏలూరు,ആംധ്ര പ്രദേശ,ഏലൂരു,ஆந்த்ர ப்ரதேஶ,ஏலூரு,आंध्र प्रदेश,एलूरु,આંધ્ર પ્રદેશ,એલૂરુ,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਏਲੂਰੁ,আংধ্র প্রদেশ,এলূরু,আংধ্ৰ প্ৰদেশ,এলূৰু,ଆଂଧ୍ର ପ୍ରଦେଶ,ଏଲୂରୁ
Andhra Pradesh,Guntur,आंध्र प्रदेश,गुंटूर,ಆಂಧ್ರ ಪ್ರದೇಶ,ಗುಂಟೂರ,ఆంధ్ర ప్రదేశ,గుంటూర,ആംധ്ര പ്രദേശ,ഗുംടൂര,ஆந்த்ர ப்ரதேஶ,குண்டூர,आंध्र प्रदेश,गुंटूर,આંધ્ર પ્રદેશ,ગુંટૂર,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਗੁਂਟੂਰ,আংধ্র প্রদেশ,গুংটূর,আংধ্ৰ প্ৰদেশ,গুংটূৰ,ଆଂଧ୍ର ପ୍ରଦେଶ,ଗୁଂଟୂର
Andhra Pradesh,Kakinada,आंध्र प्रदेश,काकीनाडा,ಆಂಧ್ರ ಪ್ರದೇಶ,ಕಾಕೀನಾಡಾ,ఆంధ్ర ప్రదేశ,కాకీనాడా,ആംധ്ര പ്രദേശ,കാകീനാഡാ,ஆந்த்ர ப்ரதேஶ,காகீநாடா,आंध्र प्रदेश,काकीनाडा,આંધ્ર પ્રદેશ,કાકીનાડા,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਕਾਕੀਨਾਡਾ,আংধ্র প্রদেশ,কাকীনাডা,আংধ্ৰ প্ৰদেশ,কাকীনাডা,ଆଂଧ୍ର ପ୍ରଦେଶ,କାକୀନାଡା
Andhra Pradesh,Konaseema,आंध्र प्रदेश,कोनसीमा,ಆಂಧ್ರ ಪ್ರದೇಶ,ಕೋನಸೀಮಾ,ఆంధ్ర ప్రదేశ,కోనసీమా,ആംധ്ര പ്രദേശ,കോനസീമാ,ஆந்த்ர ப்ரதேஶ,கோநஸீமா,आंध्र प्रदेश,कोनसीमा,આંધ્ર પ્રદેશ,કોનસીમા,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਕੋਨਸੀਮਾ,আংধ্র প্রদেশ,কোনসীমা,আংধ্ৰ প্ৰদেশ,কোনসীমা,ଆଂଧ୍ର ପ୍ରଦେଶ,କୋନସୀମା
Andhra Pradesh,Krishna,आंध्र प्रदेश,कृष्णा,ಆಂಧ್ರ ಪ್ರದೇಶ,ಕೃಷ್ಣಾ,ఆంధ్ర ప్రదేశ,కృష్ణా,ആംധ്ര പ്രദേശ,കൃഷ്ണാ,ஆந்த்ர ப்ரதேஶ,க்ரிஷ்ணா,आंध्र प्रदेश,कृष्णा,આંધ્ર પ્રદેશ,કૃષ્ણા,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਕ੍ਰਿਸ਼੍ਣਾ,আংধ্র প্রদেশ,কৃষ্ণা,আংধ্ৰ প্ৰদেশ,কৃষ্ণা,ଆଂଧ୍ର ପ୍ରଦେଶ,କୃଷ୍ଣା
Andhra Pradesh,Kurnool,आंध्र प्रदेश,कुरनूल,ಆಂಧ್ರ ಪ್ರದೇಶ,ಕುರನೂಲ,ఆంధ్ర ప్రదేశ,కురనూల,ആംധ്ര പ്രദേശ,കുരനൂല,ஆந்த்ர ப்ரதேஶ,குரநூல,आंध्र प्रदेश,कुरनूल,આંધ્ર પ્રદેશ,કુરનૂલ,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਕੁਰਨੂਲ,আংধ্র প্রদেশ,কুরনূল,আংধ্ৰ প্ৰদেশ,কুৰনূল,ଆଂଧ୍ର ପ୍ରଦେଶ,କୁରନୂଲ
Andhra Pradesh,Nandyal,आंध्र प्रदेश,नंद्याल,ಆಂಧ್ರ ಪ್ರದೇಶ,ನಂದ್ಯಾಲ,ఆంధ్ర ప్రదేశ,నంద్యాల,ആംധ്ര പ്രദേശ,നംദ്യാല,ஆந்த்ர ப்ரதேஶ,நந்த்யால,आंध्र प्रदेश,नंद्याल,આંધ્ર પ્રદેશ,નંદ્યાલ,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਨਂਦ੍ਯਾਲ,আংধ্র প্রদেশ,নংদ্যাল,আংধ্ৰ প্ৰদেশ,নংদ্যাল,ଆଂଧ୍ର ପ୍ରଦେଶ,ନଂଦ୍ଯାଲ
Andhra Pradesh,Ntr,आंध्र प्रदेश,एनटीआर,ಆಂಧ್ರ ಪ್ರದೇಶ,ಏನಟೀಆರ,ఆంధ్ర ప్రదేశ,ఏనటీఆర,ആംധ്ര പ്രദേശ,ഏനടീആര,ஆந்த்ர ப்ரதேஶ,ஏநடீஆர,आंध्र प्रदेश,एनटीआर,આંધ્ર પ્રદેશ,એનટીઆર,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਏਨਟੀਆਰ,আংধ্র প্রদেশ,এনটীআর,আংধ্ৰ প্ৰদেশ,এনটীআৰ,ଆଂଧ୍ର ପ୍ରଦେଶ,ଏନଟୀଆର
Andhra Pradesh,Palnadu,आंध्र प्रदेश,पलनाडु,ಆಂಧ್ರ ಪ್ರದೇಶ,ಪಲನಾಡು,ఆంధ్ర ప్రదేశ,పలనాడు,ആംധ്ര പ്രദേശ,പലനാഡു,ஆந்த்ர ப்ரதேஶ,பலநாடு,आंध्र प्रदेश,पलनाडु,આંધ્ર પ્રદેશ,પલનાડુ,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਪਲਨਾਡੁ,আংধ্র প্রদেশ,পলনাডু,আংধ্ৰ প্ৰদেশ,পলনাডু,ଆଂଧ୍ର ପ୍ରଦେଶ,ପଲନାଡୁ
Andhra Pradesh,Parvathipuram Manyam,आंध्र प्रदेश,पार्वतीपुरम मन्यम,ಆಂಧ್ರ ಪ್ರದೇಶ,ಪಾರ್ವತೀಪುರಮ ಮನ್ಯಮ,ఆంధ్ర ప్రదేశ,పార్వతీపురమ మన్యమ,ആംധ്ര പ്രദേശ,പാര്വതീപുരമ മന്യമ,ஆந்த்ர ப்ரதேஶ,பார்வதீபுரம மந்யம,आंध्र प्रदेश,पार्वतीपुरम मन्यम,આંધ્ર પ્રદેશ,પાર્વતીપુરમ મન્યમ,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਪਾਰ੍ਵਤੀਪੁਰਮ ਮਨ੍ਯਮ,আংধ্র প্রদেশ,পার্বতীপুরম মন্যম,আংধ্ৰ প্ৰদেশ,পাৰ্ৱতীপুৰম মন্যম,ଆଂଧ୍ର ପ୍ରଦେଶ,ପାର୍ଵତୀପୁରମ ମନ୍ଯମ
Andhra Pradesh,Prakasam,आंध्र प्रदेश,प्रकाशम,ಆಂಧ್ರ ಪ್ರದೇಶ,ಪ್ರಕಾಶಮ,ఆంధ్ర ప్రదేశ,ప్రకాశమ,ആംധ്ര പ്രദേശ,പ്രകാശമ,ஆந்த்ர ப்ரதேஶ,ப்ரகாஶம,आंध्र प्रदेश,प्रकाशम,આંધ્ર પ્રદેશ,પ્રકાશમ,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਪ੍ਰਕਾਸ਼ਮ,আংধ্র প্রদেশ,প্রকাশম,আংধ্ৰ প্ৰদেশ,প্ৰকাশম,ଆଂଧ୍ର ପ୍ରଦେଶ,ପ୍ରକାଶମ
Andhra Pradesh,Spsr Nellore,आंध्र प्रदेश,एसपीएसआर नेल्लोर,ಆಂಧ್ರ ಪ್ರದೇಶ,ಏಸಪೀಏಸಆರ ನೇಲ್ಲೋರ,ఆంధ్ర ప్రదేశ,ఏసపీఏసఆర నేల్లోర,ആംധ്ര പ്രദേശ,ഏസപീഏസആര നേല്ലോര,ஆந்த்ர ப்ரதேஶ,ஏஸபீஏஸஆர நேல்லோர,आंध्र प्रदेश,एसपीएसआर नेल्लोर,આંધ્ર પ્રદેશ,એસપીએસઆર નેલ્લોર,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਏਸਪੀਏਸਆਰ ਨੇਲ੍ਲੋਰ,আংধ্র প্রদেশ,এসপীএসআর নেল্লোর,আংধ্ৰ প্ৰদেশ,এসপীএসআৰ নেল্লোৰ,ଆଂଧ୍ର ପ୍ରଦେଶ,ଏସପୀଏସଆର ନେଲ୍ଲୋର
Andhra Pradesh,Sri Sathya Sai,आंध्र प्रदेश,श्री सत्य साईं,ಆಂಧ್ರ ಪ್ರದೇಶ,ಶ್ರೀ ಸತ್ಯ ಸಾಈಂ,ఆంధ్ర ప్రదేశ,శ్రీ సత్య సాఈం,ആംധ്ര പ്രദേശ,ശ്രീ സത്യ സാഈം,ஆந்த்ர ப்ரதேஶ,ஶ்ரீ ஸத்ய ஸாஈம்,आंध्र प्रदेश,श्री सत्य साईं,આંધ્ર પ્રદેશ,શ્રી સત્ય સાઈં,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਸ਼੍ਰੀ ਸਤ੍ਯ ਸਾਈਂ,আংধ্র প্রদেশ,শ্রী সত্য সাঈং,আংধ্ৰ প্ৰদেশ,শ্ৰী সত্য সাঈং,ଆଂଧ୍ର ପ୍ରଦେଶ,ଶ୍ରୀ ସତ୍ଯ ସାଈଂ
Andhra Pradesh,Srikakulam,आंध्र प्रदेश,श्रीकाकुलम,ಆಂಧ್ರ ಪ್ರದೇಶ,ಶ್ರೀಕಾಕುಲಮ,ఆంధ్ర ప్రదేశ,శ్రీకాకులమ,ആംധ്ര പ്രദേശ,ശ്രീകാകുലമ,ஆந்த்ர ப்ரதேஶ,ஶ்ரீகாகுலம,आंध्र प्रदेश,श्रीकाकुलम,આંધ્ર પ્રદેશ,શ્રીકાકુલમ,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਸ਼੍ਰੀਕਾਕੁਲਮ,আংধ্র প্রদেশ,শ্রীকাকুলম,আংধ্ৰ প্ৰদেশ,শ্ৰীকাকুলম,ଆଂଧ୍ର ପ୍ରଦେଶ,ଶ୍ରୀକାକୁଲମ
Andhra Pradesh,Tirupati,आंध्र प्रदेश,तिरुपति,ಆಂಧ್ರ ಪ್ರದೇಶ,ತಿರುಪತಿ,ఆంధ్ర ప్రదేశ,తిరుపతి,ആംധ്ര പ്രദേശ,തിരുപതി,ஆந்த்ர ப்ரதேஶ,திருபதி,आंध्र प्रदेश,तिरुपति,આંધ્ર પ્રદેશ,તિરુપતિ,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਤਿਰੁਪਤਿ,আংধ্র প্রদেশ,তিরুপতি,আংধ্ৰ প্ৰদেশ,তিৰুপতি,ଆଂଧ୍ର ପ୍ରଦେଶ,ତିରୁପତି
Andhra Pradesh,Visakhapatanam,आंध्र प्रदेश,विशाखापत्तनम,ಆಂಧ್ರ ಪ್ರದೇಶ,ವಿಶಾಖಾಪತ್ತನಮ,ఆంధ్ర ప్రదేశ,విశాఖాపత్తనమ,ആംധ്ര പ്രദേശ,വിശാഖാപത്തനമ,ஆந்த்ர ப்ரதேஶ,விஶாகாபத்தநம,आंध्र प्रदेश,विशाखापत्तनम,આંધ્ર પ્રદેશ,વિશાખાપત્તનમ,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਵਿਸ਼ਾਖਾਪਤ੍ਤਨਮ,আংধ্র প্রদেশ,বিশাখাপত্তনম,আংধ্ৰ প্ৰদেশ,ৱিশাখাপত্তনম,ଆଂଧ୍ର ପ୍ରଦେଶ,ଵିଶାଖାପତ୍ତନମ
Andhra Pradesh,Vizianagaram,आंध्र प्रदेश,विजयनगरम,ಆಂಧ್ರ ಪ್ರದೇಶ,ವಿಜಯನಗರಮ,ఆంధ్ర ప్రదేశ,విజయనగరమ,ആംധ്ര പ്രദേശ,വിജയനഗരമ,ஆந்த்ர ப்ரதேஶ,விஜயநகரம,आंध्र प्रदेश,विजयनगरम,આંધ્ર પ્રદેશ,વિજયનગરમ,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਵਿਜਯਨਗਰਮ,আংধ্র প্রদেশ,বিজযনগরম,আংধ্ৰ প্ৰদেশ,ৱিজযনগৰম,ଆଂଧ୍ର ପ୍ରଦେଶ,ଵିଜଯନଗରମ
Andhra Pradesh,West Godavari,आंध्र प्रदेश,पश्चिमी गोदावरी,ಆಂಧ್ರ ಪ್ರದೇಶ,ಪಶ್ಚಿಮೀ ಗೋದಾವರೀ,ఆంధ్ర ప్రదేశ,పశ్చిమీ గోదావరీ,ആംധ്ര പ്രദേശ,പശ്ചിമീ ഗോദാവരീ,ஆந்த்ர ப்ரதேஶ,பஶ்சிமீ கோதாவரீ,आंध्र प्रदेश,पश्चिमी गोदावरी,આંધ્ર પ્રદેશ,પશ્ચિમી ગોદાવરી,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਪਸ਼੍ਚਿਮੀ ਗੋਦਾਵਰੀ,আংধ্র প্রদেশ,পশ্চিমী গোদাবরী,আংধ্ৰ প্ৰদেশ,পশ্চিমী গোদাৱৰী,ଆଂଧ୍ର ପ୍ରଦେଶ,ପଶ୍ଚିମୀ ଗୋଦାଵରୀ
Andhra Pradesh,Y.s.r.,आंध्र प्रदेश,वाईएसआर,ಆಂಧ್ರ ಪ್ರದೇಶ,ವಾಈಏಸಆರ,ఆంధ్ర ప్రదేశ,వాఈఏసఆర,ആംധ്ര പ്രദേശ,വാഈഏസആര,ஆந்த்ர ப்ரதேஶ,வாஈஏஸஆர,आंध्र प्रदेश,वाईएसआर,આંધ્ર પ્રદેશ,વાઈએસઆર,ਆਂਧ੍ਰ ਪ੍ਰਦੇਸ਼,ਵਾਈਏਸਆਰ,আংধ্র প্রদেশ,বাঈএসআর,আংধ্ৰ প্ৰদেশ,ৱাঈএসআৰ,ଆଂଧ୍ର ପ୍ରଦେଶ,ଵାଈଏସଆର
Arunachal Pradesh,Anjaw,अरुणाचल प्रदेश,अंजॉ,ಅರುಣಾಚಲ ಪ್ರದೇಶ,ಅಂಜಾ,అరుణాచల ప్రదేశ,అంజా,അരുണാചല പ്രദേശ,അംജാ,அருணாசல ப்ரதேஶ,அஞ்ஜா,अरुणाचल प्रदेश,अंजॉ,અરુણાચલ પ્રદેશ,અંજા,ਅਰੁਣਾਚਲ ਪ੍ਰਦੇਸ਼,ਅਂਜਾ,অরুণাচল প্রদেশ,অংজা,অৰুণাচল প্ৰদেশ,অংজা,ଅରୁଣାଚଲ ପ୍ରଦେଶ,ଅଂଜା
Arunachal Pradesh,Changlang,अरुणाचल प्रदेश,चांगलांग,ಅರುಣಾಚಲ ಪ್ರದೇಶ,ಚಾಂಗಲಾಂಗ,అరుణాచల ప్రదేశ,చాంగలాంగ,അരുണാചല പ്രദേശ,ചാംഗലാംഗ,அருணாசல ப்ரதேஶ,சாங்கலாங்க,अरुणाचल प्रदेश,चांगलांग,અરુણાચલ પ્રદેશ,ચાંગલાંગ,ਅਰੁਣਾਚਲ ਪ੍ਰਦੇਸ਼,ਚਾਂਗਲਾਂਗ,অরুণাচল প্রদেশ,চাংগলাংগ,অৰুণাচল প্ৰদেশ,চাংগলাংগ,ଅରୁଣାଚଲ ପ୍ରଦେଶ,ଚାଂଗଲାଂଗ
Arunachal Pradesh,Dibang Valley,अरुणाचल प्रदेश,दिबांग घाटी,ಅರುಣಾಚಲ ಪ್ರದೇಶ,ದಿಬಾಂಗ ಘಾಟೀ,అరుణాచల ప్రదేశ,దిబాంగ ఘాటీ,അരുണാചല പ്രദേശ,ദിബാംഗ ഘാടീ,அருணாசல ப்ரதேஶ,திபாங்க காடீ,अरुणाचल प्रदेश,दिबांग घाटी,અરુણાચલ પ્રદેશ,દિબાંગ ઘાટી,ਅਰੁਣਾਚਲ ਪ੍ਰਦੇਸ਼,ਦਿਬਾਂਗ ਘਾਟੀ,অরুণাচল প্রদেশ,দিবাংগ ঘাটী,অৰুণাচল প্ৰদেশ,দিবাংগ ঘাটী,ଅରୁଣାଚଲ ପ୍ରଦେଶ,ଦିବାଂଗ ଘାଟୀ
Arunachal Pradesh,East Kameng,अरुणाचल प्रदेश,पूर्वी कामेंग,ಅರುಣಾಚಲ ಪ್ರದೇಶ,ಪೂರ್ವೀ ಕಾಮೇಂಗ,అరుణాచల ప్రదేశ,పూర్వీ కామేంగ,അരുണാചല പ്രദേശ,പൂര്വീ കാമേംഗ,அருணாசல ப்ரதேஶ,பூர்வீ காமேங்க,अरुणाचल प्रदेश,पूर्वी कामेंग,અરુણાચલ પ્રદેશ,પૂર્વી કામેંગ,ਅਰੁਣਾਚਲ ਪ੍ਰਦੇਸ਼,ਪੂਰ੍ਵੀ ਕਾਮੇਂਗ,অরুণাচল প্রদেশ,পূর্বী কামেংগ,অৰুণাচল প্ৰদেশ,পূৰ্ৱী কামেংগ,ଅରୁଣାଚଲ ପ୍ରଦେଶ,ପୂର୍ଵୀ କାମେଂଗ
Arunachal Pradesh,East Siang,अरुणाचल प्रदेश,पूर्वी सियांग,ಅರುಣಾಚಲ ಪ್ರದೇಶ,ಪೂರ್ವೀ ಸಿಯಾಂಗ,అరుణాచల ప్రదేశ,పూర్వీ సియాంగ,അരുണാചല പ്രദേശ,പൂര്വീ സിയാംഗ,அருணாசல ப்ரதேஶ,பூர்வீ ஸியாங்க,अरुणाचल प्रदेश,पूर्वी सियांग,અરુણાચલ પ્રદેશ,પૂર્વી સિયાંગ,ਅਰੁਣਾਚਲ ਪ੍ਰਦੇਸ਼,ਪੂਰ੍ਵੀ ਸਿਯਾਂਗ,অরুণাচল প্রদেশ,পূর্বী সিযাংগ,অৰুণাচল প্ৰদেশ,পূৰ্ৱী সিযাংগ,ଅରୁଣାଚଲ ପ୍ରଦେଶ,ପୂର୍ଵୀ ସିଯାଂଗ
